unused,R2 threshold,width V,slope mV per decade,i0 A,residual A per V,start V,Tafel R2,LSV R2,reported end V
0.000000000000000000e+00,9.020000000000000240e-01,2.099999999999999090e-02,4.141113121063663272e+01,5.683158583275676181e-08,9.695435958738434423e-05,4.599919166499999434e-02,9.107341578553593830e-01,9.477378806664991107e-01,6.699919166499998524e-02
0.000000000000000000e+00,9.020000000000000240e-01,2.199999999999999178e-02,3.968627701899802673e+01,4.855068359435736512e-08,9.371485404249913311e-05,4.499902979099990041e-02,9.053928164968171322e-01,9.527287704724242134e-01,6.699902979099989220e-02
0.000000000000000000e+00,9.020000000000000240e-01,2.299999999999998920e-02,3.990553225431448681e+01,4.941462648323776507e-08,9.656336453389297036e-05,4.499902979099990041e-02,9.118719432449626794e-01,9.510415668839929948e-01,6.799902979099989309e-02
0.000000000000000000e+00,9.020000000000000240e-01,2.399999999999998662e-02,3.804487505830875449e+01,4.119201462148721141e-08,9.346700374419380261e-05,4.399919166499999257e-02,9.047884862187620669e-01,9.559448291883092530e-01,6.799919166499998613e-02
0.000000000000000000e+00,9.020000000000000240e-01,2.499999999999998751e-02,3.832577145771313099e+01,4.220303977910598706e-08,9.617577276239722378e-05,4.399919166499999257e-02,9.105647617854506493e-01,9.539973402581589657e-01,6.899919166499998702e-02
0.000000000000000000e+00,9.020000000000000240e-01,2.599999999999998840e-02,3.868995682454450957e+01,4.353626105287416630e-08,9.833234579486158273e-05,4.399919166499999257e-02,9.151240992615329306e-01,9.545296692177915876e-01,6.999919166499998791e-02
0.000000000000000000e+00,9.020000000000000240e-01,2.699999999999998929e-02,3.948664210782968809e+01,4.652698774051438132e-08,9.786226558666144733e-05,4.399919166499999257e-02,9.144285231672135694e-01,9.576487881699150551e-01,7.099919166499998879e-02
0.000000000000000000e+00,9.020000000000000240e-01,2.799999999999998324e-02,4.017574615466703136e+01,4.919083313236308904e-08,9.803684046970564004e-05,4.399919166499999257e-02,9.150978770287875319e-01,9.609872897543012549e-01,7.199919166499997580e-02
0.000000000000000000e+00,9.020000000000000240e-01,2.899999999999998412e-02,4.056670567049172860e+01,5.073606550437951556e-08,1.000202301478108241e-04,4.399919166499999257e-02,9.187338036385827023e-01,9.607933833517712241e-01,7.299919166499997669e-02
0.000000000000000000e+00,9.020000000000000240e-01,2.999999999999998501e-02,4.096843422189279238e+01,5.235195305385767619e-08,1.019136070305990435e-04,4.399919166499999257e-02,9.219484659930824444e-01,9.608833656467689055e-01,7.399919166499997758e-02
0.000000000000000000e+00,9.020000000000000240e-01,3.099999999999998590e-02,4.147229660995456868e+01,5.441725643271250425e-08,1.031294350814890602e-04,4.399919166499999257e-02,9.239384413139832830e-01,9.627136545768126830e-01,7.499919166499997847e-02
0.000000000000000000e+00,9.020000000000000240e-01,3.199999999999997985e-02,3.572133581658273016e+01,3.133521503616892365e-08,9.511327920918007735e-05,4.099935333200011023e-02,9.045032737602276551e-01,9.548494712679660434e-01,7.299935333200008314e-02
