Mode,Chronopotentiometry,,
Applied current (A),0.02,,
Applied potential (V),,,
Time (s),1800,,
Reference electrode potential (V vs. RHE),0.929,,
Working area (cm^2),2,,
Applied current density (mA/cm^2),10,,
Solution resistance (ohm),2.3,Compensation level (%),0
,,,
Time,Original Potential,Potential,
sec,V,"V vs. RHE, iR-corrected",
69.7,0.7861,1.7151,
69.8,0.7861,1.7151,
69.9,0.7861,1.7151,
70,0.7861,1.7151,
70.1,0.7862,1.7152,
70.2,0.7862,1.7152,
70.3,0.7861,1.7151,
70.4,0.7862,1.7152,
70.5,0.7862,1.7152,
70.6,0.7861,1.7151,
70.7,0.7861,1.7151,
70.8,0.7862,1.7152,
70.9,0.7863,1.7153,
71,0.7863,1.7153,
71.1,0.7863,1.7153,
71.2,0.7863,1.7153,
71.3,0.7863,1.7153,
71.4,0.7863,1.7153,
71.5,0.7863,1.7153,
71.6,0.7863,1.7153,
71.7,0.7864,1.7154,
71.8,0.7864,1.7154,
71.9,0.7864,1.7154,
72,0.7864,1.7154,
72.1,0.7864,1.7154,
72.2,0.7864,1.7154,
72.3,0.7864,1.7154,
72.4,0.7864,1.7154,
72.5,0.7865,1.7155,
72.6,0.7865,1.7155,
72.7,0.7865,1.7155,
72.8,0.7864,1.7154,
72.9,0.7865,1.7155,
73,0.7865,1.7155,
73.1,0.7866,1.7156,
73.2,0.7866,1.7156,
73.3,0.7865,1.7155,
73.4,0.7866,1.7156,
73.5,0.7866,1.7156,
73.6,0.7866,1.7156,
73.7,0.7866,1.7156,
73.8,0.7866,1.7156,
73.9,0.7866,1.7156,
74,0.7866,1.7156,
74.1,0.7867,1.7157,
74.2,0.7868,1.7158,
74.3,0.7868,1.7158,
74.4,0.7867,1.7157,
74.5,0.7867,1.7157,
74.6,0.7867,1.7157,
74.7,0.7868,1.7158,
74.8,0.7868,1.7158,
74.9,0.7868,1.7158,
75,0.7869,1.7159,
75.1,0.7869,1.7159,
75.2,0.7868,1.7158,
75.3,0.7869,1.7159,
75.4,0.7868,1.7158,
75.5,0.7868,1.7158,
75.6,0.7867,1.7157,
75.7,0.7868,1.7158,
75.8,0.7869,1.7159,
