Source file,Ni_foil_LSV 2.3 ohm.txt
Reference electrode potential (V vs. RHE),
Equilibrium potential (V vs. RHE),1.23
Working area (cm^2),2

Point,Corrected potential (V),Current density (mA/cm^2),log10(|j| / mA cm^-2),Overpotential (V)
390,0.389,0.002851,-2.54500278269054,-0.841
391,0.39,0.0031245,-2.5052194709965727,-0.84
392,0.391,0.0029679999999999997,-2.5275361033930106,-0.839
393,0.392,0.003007,-2.5218665718994826,-0.838
394,0.393,0.0033195,-2.4789273270170606,-0.837
395,0.394,0.0035540000000000003,-2.449282576530717,-0.836
396,0.395,0.0035930000000000003,-2.4445427827953505,-0.835
397,0.396,0.0036320000000000002,-2.4398541601509525,-0.834
398,0.397,0.0036710000000000002,-2.435215615496013,-0.833
399,0.398,0.0038665,-2.412681985485932,-0.832
400,0.399,0.0039055,-2.4083233578583156,-0.831
401,0.4,0.004179,-2.378927628856374,-0.83
402,0.401,0.0044915,-2.3476085959829462,-0.829
403,0.402,0.0044915,-2.3476085959829462,-0.828
404,0.403,0.005115,-2.291154361951821,-0.827
405,0.404,0.00504,-2.2975694635544746,-0.826
406,0.405,0.00531,-2.274905478918531,-0.825
407,0.406,0.0057799999999999995,-2.238072161579471,-0.824
408,0.407,0.006095,-2.2150262900455995,-0.823
409,0.408,0.0066,-2.1804560644581312,-0.8220000000000001
410,0.409,0.006095,-2.2150262900455995,-0.821
411,0.41,0.007379999999999999,-2.1319436381769585,-0.8200000000000001
412,0.411,0.008124999999999999,-2.090176630349088,-0.819
413,0.412,0.009255000000000001,-2.033623576911077,-0.8180000000000001
414,0.413,0.01035,-1.9850596502070634,-0.817
415,0.414,0.01148,-1.9400581119380453,-0.8160000000000001
416,0.415,0.013745,-1.8618552558205128,-0.815
417,0.416,0.015815,-1.8009308037482583,-0.8140000000000001
418,0.417,0.018785,-1.7261888006005965,-0.813
419,0.418,0.02222,-1.6532559453951512,-0.812
420,0.419,0.027299999999999998,-1.563837352959244,-0.8109999999999999
421,0.42,0.033429999999999994,-1.4758636234074316,-0.81
422,0.421,0.041440000000000005,-1.3825802532628233,-0.8089999999999999
423,0.422,0.050949999999999995,-1.2928558116575548,-0.808
424,0.423,0.06394999999999999,-1.1941594511853273,-0.8069999999999999
425,0.424,0.08005,-1.0966386637446814,-0.806
426,0.425,0.10074999999999999,-0.9967549451868529,-0.8049999999999999
427,0.426,0.12695,-0.8963672947902589,-0.804
428,0.427,0.1603,-0.7950664776458551,-0.8029999999999999
429,0.428,0.1984,-0.7024583321818402,-0.802
430,0.429,0.2374,-0.6245192853814275,-0.8009999999999999
431,0.43,0.27555,-0.5597995846385104,-0.8
432,0.431,0.3124,-0.5052889747947372,-0.7989999999999999
433,0.432,0.34709999999999996,-0.45954538632858805,-0.798
434,0.433,0.38029999999999997,-0.41987367458841757,-0.7969999999999999
435,0.434,0.40955,-0.387693069731358,-0.796
436,0.435,0.4358,-0.36071277408976316,-0.7949999999999999
437,0.436,0.45380000000000004,-0.3431355084510828,-0.794
438,0.437,0.4638,-0.33366925569803146,-0.7929999999999999
439,0.438,0.4674,-0.33031129194379194,-0.792
440,0.439,0.4629,-0.33451281921718934,-0.7909999999999999
441,0.44,0.45130000000000003,-0.34553466647985415,-0.79
442,0.441,0.43405,-0.36246023944292005,-0.7889999999999999
443,0.442,0.41085,-0.3863167086903574,-0.788
444,0.443,0.3861,-0.4133001983759509,-0.7869999999999999
445,0.444,0.3598,-0.44393884099046743,-0.786
446,0.445,0.33365,-0.47670887081320995,-0.7849999999999999
447,0.446,0.30945,-0.5094095129711672,-0.784
448,0.447,0.2858,-0.5439377755450486,-0.7829999999999999
449,0.448,0.26285000000000003,-0.5802920186455559,-0.782
450,0.449,0.24375,-0.6130553756294256,-0.7809999999999999
451,0.45,0.22585,-0.646179905102587,-0.78
452,0.451,0.21065,-0.6764385365371334,-0.7789999999999999
453,0.452,0.19735,-0.7047628692684659,-0.778
454,0.453,0.18475,-0.7334155529331366,-0.7769999999999999
455,0.454,0.17405,-0.7593259723796928,-0.776
456,0.455,0.16435000000000002,-0.7842302915823568,-0.7749999999999999
457,0.456,0.1552,-0.8091082830778303,-0.774
458,0.457,0.14745,-0.8313552231121831,-0.7729999999999999
459,0.458,0.1404,-0.8526328922062135,-0.772
460,0.459,0.13355,-0.8743561076426083,-0.7709999999999999
461,0.46,0.1273,-0.8951715963463446,-0.77
462,0.461,0.12195,-0.9138181953502506,-0.7689999999999999
463,0.462,0.11645,-0.9338605071293005,-0.768
464,0.463,0.1119,-0.9511699134716499,-0.7669999999999999
465,0.464,0.10695,-0.9708192110924532,-0.766
466,0.465,0.10235,-0.9899121530014755,-0.7649999999999999
467,0.466,0.09835,-1.0072256357446445,-0.764
468,0.467,0.09465,-1.0238793817001846,-0.7629999999999999
